,name,company,year,Price,kms_driven,fuel_type
0,hyundai santro xing,hyundai,2007,80000.0,45000.0,petrol
1,mahindra jeep cl550,mahindra,2006,425000.0,40.0,diesel
2,maruti suzuki alto,maruti,2018,404688.5344224037,22000.0,petrol
3,hyundai grand i10,hyundai,2014,325000.0,28000.0,petrol
4,ford ecosport titanium,ford,2014,575000.0,36000.0,diesel
5,ford ecosport titanium,ford,2015,404688.5344224037,59000.0,diesel
6,ford figo,ford,2012,175000.0,41000.0,diesel
7,hyundai eon,hyundai,2013,190000.0,25000.0,petrol
8,ford ecosport ambiente,ford,2016,830000.0,24530.0,diesel
9,maruti suzuki alto,maruti,2015,250000.0,60000.0,petrol
10,skoda fabia classic,skoda,2010,182000.0,60000.0,petrol
11,maruti suzuki stingray,maruti,2015,315000.0,30000.0,petrol
12,hyundai elite i20,hyundai,2014,415000.0,32000.0,petrol
13,mahindra scorpio sle,mahindra,2015,320000.0,48660.0,diesel
14,hyundai santro xing,hyundai,2007,80000.0,45000.0,petrol
15,mahindra jeep cl550,mahindra,2006,425000.0,40.0,diesel
16,audi a8,audi,2017,1000000.0,4000.0,petrol
17,audi q7,audi,2014,500000.0,16934.0,diesel
18,mahindra scorpio s10,mahindra,2016,350000.0,43000.0,diesel
19,maruti suzuki alto,maruti,2014,160000.0,35550.0,petrol
20,mahindra scorpio s10,mahindra,2016,350000.0,43000.0,diesel
21,mahindra scorpio s10,mahindra,2016,310000.0,39522.0,diesel
22,maruti suzuki alto,maruti,2015,75000.0,39000.0,petrol
23,hyundai i20 sportz,hyundai,2012,100000.0,55000.0,petrol
24,hyundai i20 sportz,hyundai,2012,100000.0,55000.0,petrol
25,hyundai i20 sportz,hyundai,2012,100000.0,55000.0,petrol
26,maruti suzuki alto,maruti,2017,190000.0,72000.0,petrol
27,maruti suzuki vitara,maruti,2016,290000.0,15975.0,diesel
28,maruti suzuki alto,maruti,2008,95000.0,70000.0,petrol
29,mahindra bolero di,mahindra,2017,180000.0,23452.0,diesel
30,maruti suzuki swift,maruti,2014,385000.0,35522.0,diesel
31,mahindra scorpio s10,mahindra,2015,250000.0,48508.0,diesel
32,maruti suzuki swift,maruti,2017,180000.0,15487.0,petrol
33,maruti suzuki wagon,maruti,2013,105000.0,39000.0,petrol
34,maruti suzuki wagon,maruti,2013,105000.0,39000.0,petrol
35,toyota innova 2.0,toyota,2012,650000.0,82000.0,diesel
36,renault lodgy 85,renault,2018,689999.0,20000.0,diesel
37,skoda yeti ambition,skoda,2012,448000.0,68000.0,diesel
38,maruti suzuki baleno,maruti,2017,549000.0,32000.0,diesel
39,renault duster 110,renault,2012,501000.0,38000.0,diesel
40,renault duster 85,renault,2013,489999.0,27000.0,diesel
